SAMPLE_ID	Acidimicrobiia	Acidithiobacillia	Acidobacteriia	Actinobacteria	Alphaproteobacteria	Anaerolineae	Aquificae	Ardenticatenia	Bacilli	Bacteroidia	Betaproteobacteria	Caldilineae	Calditrichae	Candidatus Brocadiae	Chitinophagia	Chlamydiia	Chlorobia	Chloroflexia	Chthonomonadetes	Clostridia	Coprothermobacteria	Coriobacteriia	Cytophagia	Deferribacteres	Dehalococcoidia	Deinococci	Deltaproteobacteria	Dictyoglomia	Elusimicrobia	Epsilonproteobacteria	Erysipelotrichia	Fibrobacteria	Fimbriimonadia	Flavobacteriia	Fusobacteriia	Gammaproteobacteria	Gemmatimonadetes	Gloeobacteria	Halobacteria	Hydrogenophilalia	Ignavibacteria	Kiritimatiellae	Ktedonobacteria	Lentisphaeria	Methanobacteria	Methanomicrobia	Methylacidiphilae	Mollicutes	Negativicutes	Nitriliruptoria	Nitrososphaeria	Nitrospira	Oligoflexia	Opitutae	Phycisphaerae	Planctomycetia	Rubrobacteria	Saprospiria	Spartobacteria	Sphingobacteriia	Spirochaetia	Synergistia	Tepidiformia	Thermococci	Thermodesulfobacteria	Thermoleophilia	Thermomicrobia	Thermoplasmata	Thermotogae	Tissierellia	Unclassified Actinobacteria Phylum	Unclassified Armatimonadetes Phylum	Unclassified Bacteroidetes Phylum	Unclassified Balneolaeota Phylum	Unclassified Candidatus Bipolaricaulota Phylum	Unclassified Candidatus Cloacimonetes Phylum	Unclassified Candidatus Saccharibacteria Phylum	Unclassified Chloroflexi Phylum	Unclassified Cyanobacteria Phylum	Unclassified Elusimicrobia Phylum	Unclassified Firmicutes Phylum	Unclassified Planctomycetes Phylum	Unclassified Proteobacteria Phylum	Unclassified Tenericutes Phylum	Unclassified Thaumarchaeota Phylum	Unclassified Verrucomicrobia Phylum	Unclassified candidate division Zixibacteria Phylum	Verrucomicrobiae	Vicinamibacteria	Zetaproteobacteria
SRR11292124	0.0	0.0	0.0	0.6885999332020788	1.2664459483944344	0.0	0.0	0.9883160846975074	2.171775939578984	4.5740806687472535	3.0965870556648207	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.91575401106998	0.0	1.4346273982014413	0.8917349055467441	0.0	0.0	0.5923453547689191	3.0172053508251064	0.0	0.0	0.9883160846975074	0.9883160846975074	0.0	0.0	0.9427047732572872	4.137202816467291	2.032440120103583	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.464559229934299	2.9728872455000372	2.0552969070576355	0.0	0.0	0.0	0.0	0.0	0.2945777759126395	0.0	0.0	0.0	1.0672779697685075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6885999332020788	0.0	0.0	0.0	2.8098397457266824	0.0	0.0	0.5923453547689191	0.0	0.0	0.2945777759126395	0.0	1.1919423492535635	0.2945777759126395	1.9648607665690931	0.0	0.0	0.5923453547689191	0.0	1.3492995511748613	0.0	0.0
SRR11292125	0.0	0.0	0.5324944800150462	2.365795164751157	2.5828149388834674	1.1152709190221621	0.0	0.0	4.07585202319629	4.407258828205286	2.5367279488062966	0.0	0.0	0.0	0.343207642471915	0.5324944800150462	0.0	0.0	0.0	4.215682882973056	0.5324944800150462	1.306718306843814	1.1152709190221621	0.0	0.0	0.0	2.261978507425233	0.0	0.343207642471915	0.5324944800150462	1.5696009356672793	0.0	0.0	0.6638836389748656	1.2801160488911512	3.420434398391614	0.0	0.0	0.0	0.0	0.343207642471915	0.0	0.0	0.9150767538116296	0.0	0.0	0.0	1.1536252457847156	2.828675876812954	1.7223964641442173	0.0	0.0	0.0	0.0	0.343207642471915	0.0	0.0	0.5324944800150462	0.0	1.4196845068999564	0.6638836389748656	0.343207642471915	0.0	0.0	0.343207642471915	0.0	0.0	0.0	1.4196845068999564	0.6638836389748656	0.0	0.0	3.18878856393978	0.0	0.0	0.0	0.0	0.0	0.8463309149997515	0.0	2.313184872207857	0.0	2.0529636547627232	1.9717695194328213	0.0	0.0	0.0	3.5352858826545295	0.0	0.0
SRR11292126	0.0	0.0	0.0	2.786515349507343	1.203731755787272	0.3519524996401168	0.0	0.7778061769757696	3.481530014857588	4.126925617482163	2.20302933936231	0.0	0.0	0.0	0.0	0.0	0.0	0.3519524996401168	0.0	4.573223218839854	0.0	1.6963872920086458	0.3519524996401168	0.0	0.0	0.3519524996401168	0.5437722839333452	0.0	0.0	0.0	3.5967050184844576	0.0	0.0	0.67636670481248	1.393177822085253	3.5303937980344715	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5437722839333452	2.7417223537765785	0.3519524996401168	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.236398996205943	0.3519524996401168	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3218249027351059	0.3519524996401168	0.0	0.0	2.8679369396712264	0.0	0.0	0.0	0.0	0.0	0.3519524996401168	0.0	2.4265051431776947	0.0	1.4544452762532583	0.0	0.0	0.0	0.0	2.432556698718827	0.0	0.0
SRR11292127	0.0	0.0	0.0	2.548492562243604	1.322317806419416	0.7782374493304067	0.0	0.0	3.24770844235261	4.087565394399148	2.4167435477594097	0.0	2.0550983869835378	0.0	0.0	0.0	0.0	0.0	0.0	4.527101408203353	0.0	2.275414242554336	1.322317806419416	0.0	0.0	1.0414867195245716	2.200132050716868	0.0	0.0	0.5441419302092151	3.203136258895721	0.0	0.0	0.7782374493304067	1.6128847708501377	3.5625152413052943	0.0	0.0	0.0	0.0	0.7782374493304067	0.0	0.0	0.0	0.0	0.0	0.0	0.9295101946545754	3.317853415766343	0.0	0.0	0.0	0.0	0.0	0.0	0.7782374493304067	0.0	0.0	0.0	1.6128847708501377	1.0414867195245716	0.7782374493304067	0.0	0.0	0.5441419302092151	0.0	0.0	0.0	1.371166897895819	0.0	0.0	0.0	3.1347585031087712	0.0	0.0	0.0	0.0	0.5441419302092151	1.4150728067756049	0.0	1.6858430428191153	0.0	1.7672575348239448	0.0	0.0	0.0	0.0	3.793264949276994	0.0	0.0
SRR11292128	0.0	0.0	0.0	1.753915470344918	1.486441144372164	0.0	0.0	0.7592235370477658	3.5140349147004217	4.196634101071943	2.3289896123739373	0.0	0.0	0.0	0.0	2.2379817469035355	0.0	0.0	0.0	4.588256056878803	0.0	1.3255672142927837	2.298999333006401	0.0	0.0	0.0	0.5278953215686856	0.0	0.3396561393132488	0.9093517051477344	3.1173963412397123	0.0	0.0	2.1634466547119953	1.067229769786361	2.7357599658009715	0.0	0.0	0.0	0.0	0.5278953215686856	0.0	0.0	0.0	0.0	0.0	0.0	2.277789740837691	3.3856044261128995	2.07341398385996	0.0	0.0	0.0	0.3396561393132488	0.0	0.3396561393132488	0.0	0.5278953215686856	0.0	0.5278953215686856	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3396561393132488	0.0	0.0	0.0	1.7803281545299312	0.0	0.0	0.0	0.0	0.0	2.311747884091778	0.0	1.603566479172186	0.3396561393132488	1.1827672324560123	0.0	0.0	0.0	0.0	2.6514072662156	0.0	0.0
SRR11292129	0.0	0.0	1.5270573767669917	2.0359999241505777	2.3374483859299735	0.0	0.0	0.5338906611578808	3.205735377514199	4.597285465763004	1.5988226340487524	0.0	0.0	0.0	0.34428747612657284	0.665430916713337	0.34428747612657284	0.0	0.0	4.009133261129737	0.0	1.223315959224884	1.1554615873943654	0.0	0.0	0.34428747612657284	2.0947003096906367	0.0	0.0	0.8480248485789582	0.9168118006940078	0.0	0.0	0.9761787707472981	3.8701129920571025	3.0486543555288126	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5338906611578808	3.451220470811907	0.0	1.5270573767669917	1.117094485116957	0.5338906611578808	0.0	0.0	0.0	0.9761787707472981	0.0	0.0	0.34428747612657284	0.34428747612657284	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7662542053581317	0.34428747612657284	0.0	0.0	1.8666889896015797	0.0	0.0	0.0	0.0	0.34428747612657284	1.6603936694790438	0.0	1.5572007611294871	0.34428747612657284	1.5715225387784046	0.34428747612657284	0.0	0.0	0.0	2.5888645980721847	0.0	0.0
SRR11292130	0.0	0.0	0.0	1.73037967089708	1.5896357878551035	0.5688041345180419	0.0	0.0	3.1146677980871167	4.593852589177378	2.3479563890260198	0.0	0.0	0.0	0.7039533877317431	1.3281454447983019	0.0	0.0	0.0	4.202589605653371	0.0	1.9217210252218297	1.0198626944507303	0.0	0.0	0.0	1.6592955928386848	0.3715421702482468	0.0	0.3715421702482468	2.653263225584003	0.0	0.0	2.205753692206708	1.3281454447983019	3.109677100671631	0.0	0.0	0.0	0.0	0.3715421702482468	0.0	0.0	1.2691247761778535	0.0	0.0	0.0	1.2691247761778535	2.634594743454135	1.6719805753155912	0.0	0.0	0.0	0.0	0.0	0.3715421702482468	0.0	0.0	0.0	1.5066276202826014	0.8068764356318547	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7039533877317431	0.0	0.0	0.0	2.9391939607533812	0.0	0.0	0.0	0.0	0.0	1.2008025561772764	0.0	2.3809426315481326	0.0	1.5417563943503951	0.5688041345180419	0.0	0.7039533877317431	0.0	3.5257402148882155	0.0	0.0
SRR11292131	0.0	0.4620583112537304	0.0	2.006807479148496	1.5905593357173475	0.0	0.0	0.8256336655432783	3.3784424877323613	4.451917299283774	2.6117365973502955	0.0	0.0	0.0	0.5850769082150613	1.557604079210893	0.0	0.0	0.0	4.256302589977764	0.0	1.4964275969135716	1.0929449528946344	0.0	0.0	0.4620583112537304	3.418279912547551	0.2897820491889246	0.2897820491889246	0.8832106821755159	2.197454081330147	0.0	0.0	1.1250015559320137	2.0637566521673563	3.4388616816269297	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6112174186472037	0.0	0.0	2.413453396209243	3.5706078405182544	2.515091956300892	0.0	0.0	0.0	0.0	0.0	0.2897820491889246	0.0	0.7592395004241621	0.0	0.4620583112537304	0.2897820491889246	0.4620583112537304	0.0	0.0	0.0	0.0	0.0	0.0	1.1250015559320137	0.4620583112537304	0.0	0.0	2.660300620550359	0.0	0.0	0.0	0.0	0.0	0.2897820491889246	0.0	1.5219412395125809	0.0	2.138734407188882	0.0	0.0	0.979539125891139	0.0	3.5940011715415454	0.0	0.0
SRR11292132	0.0	0.0	0.0	1.3250409397012206	1.0785928949224057	0.9202539521820007	0.0	0.0	1.9913287106993807	3.8675322507398837	1.0785928949224057	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.693585904914458	0.0	2.135025424973406	0.8123702916051627	0.0	0.0	0.0	2.577616895867678	0.0	0.0	0.45188244707276964	1.5536632581205287	0.0	0.0	0.0	0.0	2.260624511377932	0.0	0.0	0.0	0.0	0.45188244707276964	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.7748230399329437	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0065998850312694	0.8123702916051627	0.0	0.0	2.079147482673792	0.0	0.0	0.0	0.0	0.0	0.9202539521820007	0.0	2.2562397101207443	0.0	1.242432875811489	0.0	0.0	0.0	0.0	1.5308559321929696	0.0	0.0
SRR11292133	0.0	0.6309589776005966	0.0	1.7406879943487867	1.239952934025059	0.0	0.0	0.0	3.236891296500243	4.255627940226495	2.482814026746521	0.0	1.568524099334617	0.0	0.7717959452957177	1.034454986716305	0.0	0.0	0.0	4.518671743389459	0.42121099356274455	1.7000836283788245	1.7000836283788245	0.0	0.0	0.0	2.5397486577502457	0.42121099356274455	0.0	0.7717959452957177	3.049019963526554	0.0	0.0	0.8779728376960806	2.050602649185808	3.1778151365223506	0.0	0.0	0.0	0.0	0.42121099356274455	0.0	0.0	0.0	0.0	0.0	0.0	1.149246834554948	3.3849452363317196	2.582703775297888	0.0	0.0	0.0	0.0	0.0	0.6309589776005966	0.0	0.0	0.0	1.9009425309035213	0.6309589776005966	0.42121099356274455	0.0	0.0	0.0	0.0	0.0	0.0	1.1969636851982337	0.6309589776005966	0.0	0.0	3.401057523675158	0.0	0.0	0.0	0.0	0.0	0.7717959452957177	0.0	1.587318999283835	0.7717959452957177	1.926950433898346	0.0	0.0	0.6309589776005966	0.42121099356274455	3.303625420529472	0.0	0.0
SRR11292134	0.0	0.0	0.0	2.018978858259884	1.5602674702742043	0.0	0.0	0.0	1.4188949425094564	4.603603181621839	2.9275759507114443	0.0	1.6667473155587864	0.0	0.0	0.0	0.0	0.0	0.0	4.264142923509822	0.0	1.091882368826014	1.1725944951999334	0.0	0.0	0.0	1.9690001006548519	0.0	0.0	0.0	2.484430605389073	0.0	0.0	0.8638555571389375	0.0	2.443000652877233	0.0	0.0	0.0	0.0	0.6799160415166849	0.0	0.0	0.0	0.0	0.0	0.0	0.5469846060510178	3.142298500223217	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.351225290347339	0.35445264554955574	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5469846060510178	0.9926658694149428	0.0	0.0	3.123742850241849	0.0	0.0	0.0	0.0	0.5469846060510178	0.8638555571389375	0.0	2.860498847819251	0.35445264554955574	1.7893410189792014	0.0	0.0	0.0	0.0	2.145498192303354	0.0	0.0
SRR11292135	0.0	0.0	0.2577382733805398	3.030255121280702	1.9548566998078398	0.5353886243945998	0.0	0.0	2.5362240730568306	3.813779062868617	1.681190853012376	0.0	0.0	0.2577382733805398	0.5353886243945998	0.0	0.0	0.0	0.0	4.457538657667157	0.0	2.0676866241906366	1.1190489996699031	0.0	0.0	0.0	0.9591601252458686	0.0	0.0	0.5353886243945998	3.724344494207297	0.0	0.0	0.5353886243945998	0.2577382733805398	2.6043050902539933	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8242392272269743	2.2515031469321225	0.0	0.0	0.0	0.7033983567560647	0.0	0.7033983567560647	0.0	0.0	0.4183837733588247	0.0	0.7033983567560647	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7033983567560647	0.9961935853568935	0.0	0.0	1.9813614838850173	0.0	0.0	0.9186718314256922	0.0	1.0303157331396078	0.9591601252458686	0.0	2.5216502594301184	0.7033983567560647	1.4910702880154842	0.2577382733805398	0.0	0.5353886243945998	0.0	4.315452007389944	0.0	0.0
SRR11292136	0.0	0.7472717124553733	0.4030173459223241	2.3537655876826014	1.4552893249961962	0.4030173459223241	0.0	0.8029717846983583	2.310502286170047	4.514511320129426	2.2696466709060616	0.0	0.0	0.2466707650758995	0.0	0.6833620622228138	0.2466707650758995	0.0	0.0	4.399421688755457	0.5177365851984848	1.2509902910929267	1.0684008451177336	0.0	0.0	0.4030173459223241	3.3712381451189035	0.0	0.0	1.1461246751023986	2.871740972441176	0.0	0.0	1.0075939183015163	0.7472717124553733	2.024337181154573	0.0	0.0	0.0	0.0	0.2466707650758995	0.0	0.0	0.0	0.0	0.0	0.0	2.226520494656868	3.1127393472320097	2.066212680873568	0.0	0.0	0.2466707650758995	0.0	0.0	0.0	0.0	0.5177365851984848	0.0	0.8966527170428175	0.5177365851984848	0.0	0.0	0.0	0.2466707650758995	0.0	0.0	0.0	0.9368652128220734	0.0	0.0	0.0	2.7269152747575593	0.0	0.0	0.0	0.0	0.0	0.2466707650758995	0.0	1.3791420199304179	0.5177365851984848	2.018011211810471	0.2466707650758995	0.0	0.2466707650758995	0.0	0.2466707650758995	0.2466707650758995	0.0
SRR11292137	0.0	0.0	0.0	1.838213776060322	1.0337313916905944	0.2441372442703422	0.0	0.931678951056066	3.531251505134613	4.393645513941047	2.2948035213430784	0.0	0.0	0.0	0.0	1.9319493654581685	0.0	0.0	0.0	4.328568322644556	0.2441372442703422	2.385916397766685	2.7006559048741554	0.0	0.0	0.0	2.7315178899108425	0.0	0.0	0.7424587453367886	3.1032735374281857	0.0	0.0	1.4832014513984502	0.6039817617188712	2.620602420398067	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7715248898304405	0.0	0.0	0.8472936561499249	2.9767239121001494	1.9507000706251743	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2441372442703422	0.0	1.185662880755316	0.39947810469557293	1.297998293218497	0.0	0.0	0.0	0.0	0.0	0.0	0.7980318297626358	0.513657604415627	0.0	0.0	2.799997075309829	0.6039817617188712	0.0	0.2441372442703422	0.2441372442703422	0.0	0.0	0.0	1.6792003355430392	0.513657604415627	1.7308665362496127	0.2441372442703422	0.0	0.513657604415627	0.0	3.966229994331648	0.0	0.0
SRR11292138	0.0	0.0	0.0	1.488044316094388	1.038277083569945	0.0	0.0	0.0	2.16727555523383	3.913529535424895	0.9779078273063108	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.713262898406432	0.0	2.391287254506257	0.9077709126328669	0.0	0.0	0.0	2.09942434754826	0.0	0.0	0.0	2.277622993023877	0.0	0.0	0.383337457862068	0.5837287746525708	2.7532137415635103	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.383337457862068	3.316036244117552	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5837287746525708	0.720325983835763	0.0	0.0	0.0	0.383337457862068	0.0	0.0	0.0	0.8240837537166057	0.5837287746525708	0.0	0.0	2.179660565049461	0.0	0.0	0.0	0.0	0.383337457862068	1.038277083569945	0.0	2.6669573590864264	0.5837287746525708	1.5442680531908661	1.0912696692538537	0.0	0.383337457862068	0.0	0.5837287746525708	0.0	0.0
SRR11292139	0.0	0.0	0.0	2.6404303725050986	1.1120617207215564	0.34131179323179633	0.0	0.7617413920079451	3.5754305585193302	4.124839218594037	2.7349984727108514	0.0	0.0	0.0	0.0	0.7617413920079451	0.5300407562941385	0.0	0.0	4.555634442330498	0.34131179323179633	2.1295949542862913	2.1447237868484232	0.0	0.0	0.5300407562941385	2.80292119914222	0.0	0.0	1.070016356051181	1.957025046010474	0.0	0.0	1.0234598117254088	2.540792479667344	3.4942548029590483	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2484959930679596	0.0	0.0	0.0	1.643429699261958	2.9657920772244024	2.097658082778026	0.0	0.0	0.5300407562941385	0.0	0.34131179323179633	0.34131179323179633	0.0	0.34131179323179633	0.0	1.374624011116146	0.0	0.34131179323179633	0.0	0.0	0.0	0.0	0.0	0.0	1.489388808452579	0.9713064001961811	0.0	0.0	3.0450820693674454	0.0	0.0	0.6611630617644889	0.34131179323179633	0.7617413920079451	1.0234598117254088	0.0	2.634453813120718	0.6611630617644889	1.8393501132556684	0.5300407562941385	0.0	0.7617413920079451	0.0	3.419335529773328	0.0	0.0
SRR11292140	0.0	0.0	0.7300855909642443	2.2960328983653864	1.4208462684812238	0.43910373362681776	0.0	0.0	3.41719501318242	4.39710436125365	2.58127791181352	0.0	0.0	0.0	0.2728333797180628	0.0	0.0	0.0	0.652932657130096	4.470656685160657	0.0	2.495705646920388	1.17575540943433	0.0	0.0	0.43910373362681776	1.8868399959155147	0.0	0.0	0.2728333797180628	2.7285016625537213	0.0	0.0	0.9027751355826281	0.7955777643746702	3.4272480970168124	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.43910373362681776	3.101859685534284	2.502921129503035	0.0	0.2728333797180628	0.0	0.0	0.0	0.2728333797180628	0.0	0.2728333797180628	0.0	1.17575540943433	0.7955777643746702	0.652932657130096	0.2728333797180628	0.0	0.2728333797180628	0.0	0.0	0.0	0.7955777643746702	0.652932657130096	0.0	0.0	2.924888191860122	0.0	0.0	0.2728333797180628	0.0	0.2728333797180628	0.43910373362681776	0.0	1.6831449298918064	0.652932657130096	1.641865485656518	0.2728333797180628	0.0	0.0	0.0	1.6831449298918064	0.0	0.0
SRR11292141	0.0	0.0	0.0	1.5329580352621552	1.1537050664748218	0.0	0.0	0.0	2.9946939211692047	4.5728202844711054	1.7047851159171423	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.236316831828639	0.0	1.383477779464416	0.0	0.0	0.0	0.0	2.1664608290723364	0.0	0.0	0.6346384074874502	1.6754336302524382	0.0	0.0	1.610012425639086	3.2445610408722945	3.3005725439637157	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.439218902787639	2.8173648275374603	0.0	0.0	0.0	0.8821372508599371	0.0	0.0	0.0	0.0	0.0	0.0	0.6346384074874502	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8821372508599371	0.0	0.0	0.0	2.0156094567545164	0.0	0.0	0.6346384074874502	0.0	0.0	0.0	0.0	1.244474976220046	0.0	1.7825356140468969	0.0	0.0	0.0	0.0	3.526633029691488	0.0	0.0
SRR11292142	0.0	0.0	0.4120482846035824	2.1420188910566287	1.1354627299003557	0.0	0.0	0.0	4.4006071739545005	2.7503574005681015	0.9500110672270266	0.0	0.0	0.0	0.0	0.4120482846035824	0.0	0.0	0.0	4.548860193542292	0.0	2.8493064310211715	1.1354627299003557	0.0	0.0	0.4120482846035824	1.5138957688633567	0.0	0.0	0.0	2.66269996962364	0.0	0.0	0.4120482846035824	0.0	2.655163397105585	0.0	0.0	0.0	0.0	0.4120482846035824	0.0	0.0	0.0	0.0	0.0	0.0	1.0819889522009802	2.161403356466213	0.8651151845684407	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4120482846035824	0.0	0.0	0.0	0.0	0.0	0.0	1.0819889522009802	0.7594897022745045	0.0	0.0	1.7129989630480549	0.0	0.0	0.4120482846035824	0.0	0.0	1.2259672822084453	0.0	2.2190207806834166	0.0	1.0819889522009802	2.6536402601354254	0.0	0.0	0.0	2.2063867128362866	0.0	0.0
SRR11292143	0.0	0.0	0.0	2.4375226844215176	1.1280585888589714	0.0	0.0	0.9392410334993204	2.6353711256162593	4.673945671868381	2.8274926319375178	0.0	0.4433627173371815	0.20191008218899378	0.20191008218899378	0.0	0.0	0.0	0.0	4.032440140648296	0.5273097219409799	1.066468450740735	1.108483233949285	0.0	0.0	0.4433627173371815	0.7585359090142623	0.0	0.4433627173371815	0.33920455069619393	2.066014260186034	0.0	0.0	0.8011917901006496	1.3709090105169166	3.150574489874233	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5273097219409799	3.1894870071718633	0.0	0.0	0.0	0.0	0.33920455069619393	0.0	0.4433627173371815	0.0	0.0	0.0	1.5101372328793303	0.20191008218899378	0.33920455069619393	0.0	0.0	0.0	0.0	0.0	0.0	0.9086216799381451	0.0	0.0	0.0	3.130489558671601	0.0	0.0	0.0	0.0	0.33920455069619393	0.20191008218899378	0.0	1.2299565057187436	0.0	1.5694280513579486	0.0	0.0	0.33920455069619393	0.0	0.33920455069619393	0.0	0.0
